,mean,sd,X5.5.,X94.5.,n_eff,Rhat4
model 1 trials improvement,,,,,,
intercept per bird,-30.3,3.51,-35.65,-24.65,109,1
b * reversal,2.13,2.93,0.17,9.77,9,1
variance,6.54,2.42,0.23,9.41,10,1
model 2 trials improvement,,,,,,
correlation intercept slope,0.34,0.39,-0.4,0.85,2452,1
model 3 phi improvement,,,,,,
intercept per bird,0,0.02,-0.02,0.03,620,1
b * reversal,0.03,0.01,0.02,0.05,207,1.01
correlation intercept slope,-0.29,0.46,-0.93,0.52,1492,1
variance,0.02,0.01,0.01,0.03,184,1.01
model 4 lambda improvement,,,,,,
intercept per bird,5.36,0.35,4.57,6.18,255,1.01
b * reversal,-1.1,0.3,-1.57,-0.64,260,1.01
correlation intercept slope,-0.08,0.44,-0.77,0.64,566,1.01
variance,0.85,0.2,0.58,1.19,648,1
model 5 performanceimprovement,,,,,,
intercept,32.74,2.52,28.76,36.79,1362,1
b * phi improvement,10.63,3.09,5.68,15.31,1155,1
c * lambda improvement,5.58,3.03,0.73,10.2,1223,1
sigma,7.22,1.36,5.31,9.56,1322,1
MODEL 6 (combined),,,,,,
trials last ~ trials first,0.62,0.36,0.04,1.17,1166,1
trials last ~ phi last,-0.28,0.51,-1.07,0.54,1095,1
trials last ~ lambda last,-0.22,0.48,-0.98,0.55,1278,1
trials first ~ phi first,-1.04,0.15,-1.26,-0.8,1059,1
trials first ~ lambda first,0.18,0.16,-0.41,0.06,890,1
phi last ~ phi first,0.29,0.37,-0.31,0.86,1696,1
lambda last ~ lambda first,0.19,0.38,-0.41,0.79,1806,1
