Diablo,A064LR,170,170,0.70,0.70,Post,80,40,
Burrito,A068YS,190,190,0.50,0.90,Post,60,23,
Adobo,A073OL,160,160,0.40,0.60,Pre,100,50,
Chilaquile,A086GB,170,140,0.60,1.00,Post,40,30,
Yuca,A087AG,170,60,0.20,0.60,Post,80,80,
Mofongo,A090SB,201,60,0.80,1.00,Pre,40,40,
Pizza,A088YR,170,100,NA,NA,Post,60,60,
Taquito,A007-S,201,290,0.80,1.00,Post,160,160,
Queso,A031-Y,NA,NA,0.90,0.90,Pre,70,70,
Mole,A035P-,170,170,0.80,0.90,Post,70,50,
Tomatillo,A022-N,NA,NA,0.80,0.80,Post,50,50,
Tapa,A042GY,NA,NA,1.00,1.00,Pre,100,100,
Chalupa,A025GO,NA,NA,0.90,1.00,Post,90,50,
Habanero,A036R-,NA,NA,1.00,1.00,Post,80,40,
Pollito,A096NS,NA,NA,0.90,0.90,Post,60,40,
Taco,A070KP,NA,NA,0.20,1.00,Post,80,80,
Huachinango,A089GY,NA,NA,0.70,0.70,Post,NA,NA,
Pavo,A082OY,NA,NA,0.80,0.80,Pre,NA,NA,
