,mean,sd,X5.5.,X94.5.,n_eff,Rhat4
MODEL 21 (plastic phi): loci solved ~ a + b*phi,,,,,,
a,0.02,0.3,-0.45,0.5,1153,1
b,0.24,0.26,-0.16,0.65,1463,1
MODEL 22 (plastic lambda): loci solved ~ a + b*lambda,,,,,,
a,0,0.25,-0.4,0.41,1369,1
b ,0.14,0.22,-0.21,0.49,1200,1
MODEL 23 (plastic both): loci solved ~ a+ b*phi + c*lambda,,,,,,
a,4.99,0.31,4.52,5.46,1183,1
b,0.33,0.27,-0.09,0.76,1736,1
c,-0.01,0.25,-0.41,0.42,1556,1
MODEL 24 (plastic interaction): loci solved ~ a + b*phi*lambda,,,,,,
a,5.02,0.31,4.51,5.49,886,1
b,0.07,0.21,-0.25,0.42,1256,1
MODEL 25 (plastic U shaped): loci solved ~ a+ b*abs(lambda) + c*abs(phi),,,,,,
a ,-0.66,0.5,-1.45,0.15,947,1
b ,1.51,0.6,0.61,2.48,845,1
c,-0.55,0.58,-1.45,0.37,861,1
MODEL 26 (plastic phi first): loci solved ~ a + b*phi,,,,,,
a,0.02,0.26,-0.41,0.42,1313,1
b,0.2,0.22,-0.17,0.54,1624,1
MODEL 27 (plastic lambda first): loci solved ~ a + b*lambda,,,,,,
a ,0.01,0.26,-0.41,0.42,1346,1
b ,0.29,0.23,-0.08,0.66,1536,1
MODEL 28 (wooden phi): loci solved ~ a + b*phi,,,,,,
a,1.35,0.34,0.83,1.9,1329,1
b,-0.08,0.27,-0.52,0.37,1268,1
MODEL 29 (wooden lambda): loci solved ~ a + b*lambda,,,,,,
a,1.34,0.33,0.83,1.87,1566,1
b ,0.2,0.27,-0.24,0.63,1444,1
MODEL 30 (wooden both): loci solved ~ a+ b*phi + c*lambda,,,,,,
a,0.75,0.42,0.07,1.43,1186,1
b,0.37,0.34,-0.18,0.92,1354,1
c,0.56,0.36,-0.01,1.14,1131,1
MODEL 31 (wooden interaction): loci solved ~ a + b*phi*lambda,,,,,,
a,0.92,0.38,0.34,1.53,966,1
b,0.67,0.32,0.17,1.19,952,1
MODEL 32 (wooden U shaped): loci solved ~ a+ b*abs(lambda) + c*abs(phi),,,,,,
a ,0.4,0.5,-0.43,1.2,902,1
b ,1.52,0.75,0.33,2.7,827,1
c,0.43,0.67,-0.6,1.52,1002,1
MODEL 33 (wooden phi first): loci solved ~ a + b*phi,,,,,,
a,1.34,0.34,0.82,1.19,1259,1
b,0.05,0.28,-0.37,0.48,1434,1
MODEL 34 (wooden lambda first): loci solved ~ a + b*lambda,,,,,,
a ,1.34,0.33,0.82,1.88,1283,1
b ,-0.11,0.27,-0.52,0.32,1111,1
