VideoFileName,Trial,1CorrectChoice,2CorrectChoice,1LocusSolved,2LocusSolved,Coder1,Coder2,Notes
A031-Y 2018-12-20 Multiaccess box S1 T1,1,1,1,Twist,Twist,Kelsey McCune,Tiana Lam,
A031-Y 2018-12-20 Multiaccess box S1 T2,2,0,0,None,None,Kelsey McCune,Tiana Lam,
A031-Y 2018-12-20 Multiaccess box S2 T3,3,-1,-1,None,None,Kelsey McCune,Tiana Lam,
A031-Y 2018-12-21 Multiaccess box S3 T3,3,-1,-1,None,None,Corina Logan,Tiana Lam,
A031-Y 2018-12-21 Multiaccess box S4 T3,3,-1,-1,None,None,Corina Logan,Tiana Lam,
A031-Y 2018-12-24 Multiaccess box S5 T4,4,-1,-1,None,None,Corina Logan,Tiana Lam,
A031-Y 2018-12-25 Multiaccess box S6 T4,4,-1,-1,None,None,Corina Logan,Tiana Lam,
A031-Y 2018-12-26 Multiaccess box S7 T4,4,-1,-1,None,None,Corina Logan,Tiana Lam,
A031-Y 2018-12-27 Multiaccess box S8 T4,4,-1,0,None,None,Luisa Bergeron,Tiana Lam,
A031-Y 2018-12-27 Multiaccess box S9 T4,4,1,1,Twist,Twist,Luisa Bergeron,Tiana Lam,
A031-Y 2018-12-27 Multiaccess box S9 T5,5,1,1,Twist,Twist,Luisa Bergeron,Tiana Lam,
A031-Y 2018-12-27 Multiaccess box S9 T6,6,1,1,Twist,Twist,Luisa Bergeron,Tiana Lam,
A031-Y 2018-12-27 Multiaccess box S9 T7,7,-1,-1,None,None,Luisa Bergeron,Tiana Lam,
A031-Y 2018-12-28 Multiaccess box S10 T7,7,-1,-1,None,None,Luisa Bergeron,Tiana Lam,
A031-Y 2018-12-28 Multiaccess box S11 T7,7,-1,-1,None,None,Luisa Bergeron,Tiana Lam,
A031-Y 2018-12-30 Multiaccess box S12 T7,7,1,1,Twist,Twist,Corina Logan,Tiana Lam,
A031-Y 2018-12-30 Multiaccess box S12 T8,8,1,1,Twist,Twist,Corina Logan,Tiana Lam,
A031-Y 2018-12-30 Multiaccess box S12 T9,9,-1,-1,None,None,Corina Logan,Tiana Lam,
A031-Y 2018-12-31 Multiaccess box S13 T9,9,1,1,Twist,Twist,Corina Logan,Tiana Lam,
A031-Y 2018-12-31 Multiaccess box S13 T10,10,-1,-1,None,None,Corina Logan,Tiana Lam,
A031-Y 2018-12-31 Multiaccess box S14 T10,10,0,0,None,None,Corina Logan,Tiana Lam,
A031-Y 2019-01-01 Multiaccess box S15 T11,11,0,1,None,String,Corina Logan,Tiana Lam,
A031-Y 2019-01-01 Multiaccess box S15 T12,12,1,1,Push,Push,Corina Logan,Tiana Lam,
A031-Y 2019-01-01 Multiaccess box S15 T13,13,1,1,Push,Push,Corina Logan,Tiana Lam,
A031-Y 2019-01-01 Multiaccess box S15 T14,14,0,0,None,None,Corina Logan,Tiana Lam,
A031-Y 2019-01-01 Multiaccess box S16 T15,15,1,1,Push,Push,Corina Logan,Tiana Lam,
A031-Y 2019-01-01 Multiaccess box S16 T16,16,0,0,None,None,Corina Logan,Tiana Lam,
A031-Y 2019-01-01 Multiaccess box S16 T17,17,1,1,Push,Push,Luisa Bergeron,Tiana Lam,
A031-Y 2019-01-02 Multiaccess box S17 T17,18,-1,-1,None,None,Luisa Bergeron,Tiana Lam,
A031-Y 2019-01-02 Multiaccess box S17 T18,18,1,1,String,String,Luisa Bergeron,Tiana Lam,
A031-Y 2019-01-02 Multiaccess box S18 T18,19,-1,-1,None,None,Luisa Bergeron,Tiana Lam,
A031-Y 2019-01-02 Multiaccess box S18 T19,19,-1,-1,None,None,Luisa Bergeron,Tiana Lam,
A031-Y 2019-01-03 Multiaccess box S19 T19,19,-1,-1,None,None,Luisa Bergeron,Tiana Lam,
